objectid,filename,youtubeid,vimeoid,title,creator,date,location,format,latitude,longitude,source,subject
RaJ_2002-4,,h1bHz_zcaas,,Bollywood Queen,Jeremy Wooding,2002,United Kingdom,MovingImage,54.633221,-3.432277,Wikipedia - https://en.wikipedia.org/wiki/Bollywood_Queen,Romeo and Juliet;Feature;Loose/Inspired;Romance;Musical;Modernized;Preeya Kalidas;James McAvoy;Ray Panthaki;Ciarán McMenamin;Kat Bhathena;Ian McShane;Karen David;Andy Beckwith;Ronny Jhutti
RaJ_2002-5,,aRZyymva6xo,,Roméo et Juliette (2002),Barbara Willis Sweete,2002,France;United Kingdom;United States,MovingImage,46.232193,2.209667,IMDb - https://www.imdb.com/title/tt0327118/,Romeo and Juliet;TV/Video/Recording;Loose/Inspired;Drama/Comedy;Musical;Opera;Roberto Alagna;Angela Gheorghiu;Tito Beltrán;Jan Sváb;Pavel Novak;Daniel Lipnik;Marcel Acquarone;Vratislav Kriz;Ales Hendrych;Frantisek Zahradnicek;Zdenék Harvánek
RaJ_2003,,b3lHMp1XEnA,,"Didi, o Cupido Trapalhão",Paulo Aragão;Alexandre Boury,2003,Brazil,MovingImage,-14.242915,-53.189266,IMDb - https://www.imdb.com/title/tt0367628/,Romeo and Juliet;Feature;Loose/Inspired;Comedy;Romance;Rom-Com;Modernized;Renato Aragão;Daniel;Jackeline Petkovic;Tadeu Mello;Helen Ganzarolli;Aramis Trindade;Armando Paiva;Dany Bananinha;Kléber Bambam;Edson Cardoso;Michelle Martins;Vanessa Bueno;Marcelo Augusto;Fernanda Chuquer;Mauro Mendonça;Rosamaria Murtinho;Oscar Magrini;Herson Capri;Livian Aragão
RaJ_2004,,,,Romeo & Julia und die neue Weltordnung,Thorsten Wettcke,2004,Germany,MovingImage,51.165707,10.452764,IMDb - https://www.imdb.com/title/tt0435727/,Romeo and Juliet;Short;Loose/Inspired;Comedy;Modernized;Lisa Karlström;Nic Romm;Aleksandar Jovanovic
RaJ_2005-1,,FBKwgZiq7xQ,,Romeo and Juliet Get Married (O Casamento de Romeu e Julieta),Bruno Barreto,2005,Brazil,MovingImage,-14.242915,-53.189266,Wikipedia - https://en.wikipedia.org/wiki/Romeo_and_Juliet_Get_Married,Romeo and Juliet;Feature;Loose/Inspired;Drama/Comedy;Romance;Modernized;Luis Gustavo;Luana Piovani;Marco Ricca;Martha Mellinger;Berta Zemel;Leonardo Miggiorin;Mel Lisboa;Rafael Golombeck;Renato Consorte;José Vasconcelos;Luiz Laffey
RaJ_2005-2,,,,Roméo et Juliette (2005),Alexandra Wilson;Charlotte Gazzard,2005,United Kingdom,MovingImage,54.633221,-3.432277,British Universities Film & Video Council - https://learningonscreen.ac.uk/shakespeare/search/index.php/title/av69805,Romeo and Juliet;TV/Video/Recording;Loose/Inspired;Drama/Tragedy;Romance;Jean-Paul Fouchecourt;John Relyea;Katarina Karneus
RaJ_2005-3,,Gvj6UAtTaDo,,Pizza My Heart,Andy Wolk,2005,United States,MovingImage,36.966428,-95.844032,Wikipedia - https://en.wikipedia.org/wiki/Pizza_My_Heart_(film),Romeo and Juliet;TV/Video/Recording;Loose/Inspired;Comedy;Romance;Modernized;Shiri Appleby;Michael Badalucco;Joanna Canton;Ann Mahoney;Natalia Nogulich;Eyal Podell;Rob Boltin;Gina Hecht;Dan Hedaya;Don Lincoln;John Mese;William Ragsdale;Maria Soccor
RaJ_2005-4,,AFcYfTEWjsY,,West Bank Story,Ari Sandel,2005,United States,MovingImage,36.966428,-95.844032,Wikipedia - https://en.wikipedia.org/wiki/West_Bank_Story,Romeo and Juliet;Short;Loose/Inspired;Comedy;Romance;Musical;Parody;Modernized;Ben Newmark;Noureen DeWulf;Joey Naber;A.J. Tannen
RaJ_2006-1,,VdSFf9rRSz0,,Wellkåmm to Verona,Suzanne Osten,2006,Sweden,MovingImage,62.199806,17.637493,IMDb - https://www.imdb.com/title/tt0499095/,Romeo and Juliet;Feature;Loose/Inspired;Drama;Romance;Comedy;Rom-Com;Modernized;Jan Malmsjö;Ghita Nørby;Erland Josephson;Simon Norrthon;Victoria Olmarker;Anne-Lise Gabold;Malin Ek;Inger Hayman;Danilo Bejarano;Pjotr Giro;César Sarachu;Gösta Bredefeldt
RaJ_2006-2,,l0rOsV9zvIg,,56 Drops of Blood (56 csepp vér),Attila Bokor,2006,Hungary,MovingImage,47.164638,19.508944,IMDb - https://www.imdb.com/title/tt0896515/,Romeo and Juliet;Feature;Loose/Inspired;Drama;Musical;Attila Kaszás;Róbert Alföldi;Tamás Palcsó;Mónika Veres;Zoltán Miller;Mónika Hoffmann;Zoltán Seress;Péter Forgács;Erika Balogh;Lajos Miller;Ildikó Keresztes;Zoltán Kiss;Simon Szabó;Pál Ömböli;IsTV/Video/Recordingán Galyas;Alexandra Pap;Péter Puskás;Dávid Szanitter;Tibor Szakács
